input,deduccion
24win.com,GMB
6topoderweb.com,VACÍO
89.com,MISC
abelsierramadero.com,A LA VENTA
af.mil,EXCEPCIÓN (SIN ACCESO POSIBLE)
aiv.org.ve,REL
albedrio.org,GMB
appzplanet.com,MISC
apuesta24.com,GMB
apurogol.info,MMED
arc-international.net,HUMR
army.mil,EXCEPCIÓN (SIN ACCESO POSIBLE)
avn.info.ve,NEWS
bacuba.org,ENV
bet30.es,GMB
betcoin.pro,EXCEPCIÓN (SIN ACCESO POSIBLE)
bicommunitynews.co.uk,LGBT
bitbucket.org,COMM 
bitcoin.sipa.be,ECOM
biz.ly,HOST
blackhat.be,HOST
blogeasy.com,HOST
bodegonline.net,COMM 
caiv.org,POLR
casibet.pro,GMB
casino33.co,CERRADO
casinomagic.com.ar,GMB
centcom.mil,EXCEPCIÓN (SIN ACCESO POSIBLE)
championsbet.net,EXCEPCIÓN (SIN ACCESO POSIBLE)
channel.rojadirecta.win,EXCEPCIÓN (SIN ACCESO POSIBLE)
clubriches.com,EXCEPCIÓN (SIN ACCESO POSIBLE)
comprarmagistv.com,CULTR
comunicacionsocial.org.ar,NEWS
congresovisible.com,POLR
convergame.net,EXCEPCIÓN (SIN ACCESO POSIBLE)
coolbetchile.com,GMB
coronavirus-map.com,EXCEPCIÓN (SIN ACCESO POSIBLE)
cubanuestra.nu,A LA VENTA
cubaposible.com,POLR
cxtvenvivo.com,CULTR
darpa.mil,GOVT
democracycaucus.net,HUMR
dia.mil,EXCEPCIÓN (SIN ACCESO POSIBLE)
diariolajuventud.com,EXCEPCIÓN (SIN ACCESO POSIBLE)
dollar.nu,ECON
elcolonodeloeste.com.ar,NEWS
eldisenso.com,NEWS
elpitazo.com,VACÍO
eltelescopio.com.uy,NEWS
elzacapaneco.com,GRP
epmundo.com,NEWS
es-us.noticias.yahoo.com,NEWS
espectador.com,NEWS
feedtheminds.org,PUBH
fncancer.org.ve,PUBH
futbol-libre.me,VACÍO
futbol-libre.pe,VACÍO
futbollibre.app,CULTR
futbollibre.bet,A LA VENTA
futbollibre.pl,EXCEPCIÓN (SIN ACCESO POSIBLE)
futbollibre.wtf,A LA VENTA
futbollibrefhd.com,CULTR
futbollibrehd.live,CULTR
futbollibrestv.com,MISC
futbollibretv.io,MISC
futbollibretv.tv,CULTR
glasgow.com.ve,COMM
gohorsebetting.com,GMB
golazohd.com,GMB
goralbet.com,GMB
grancasino.vip,GMB
hackhull.com,ANON
hallabet.com,GMB
hightimes.com,NEWS
ipscuba.net,REL
iptbest.xyz,COMM
ipysvenezuela.org,HUMR
isocve.org,HACK
jsf.mil,EXCEPCIÓN (SIN ACCESO POSIBLE)
juegasi.com,GMB
lalgbtcenter.org,LGBT
lanoticiaregional.com.ar,NEWS
libgen.me,FILE
librefutbol.futbol,VACIO
libretv.futbol,CULTR
linkedin.com,GRP
llamagaming.com,COMM
luckyboycasino.com,GMB
magistv.live,CULTR
magistvgratis.com,CULTR
magistvinternational.com,CULTR
magistvlatino.es,CULTR
magistvmexico.net,CULTR
magistvoficial.net,CULTR
magistvonline.com,CULTR
magistvperu.org,CULTR
magistvpro.net,CULTR
magistvtv.com,CULTR
match.com,DATE
me.gob.ve,GOVT
mega-deportes.net,HACK
megadeportestv.org,HACK
megadeportestvhd.com,HACK
megafaraon-casino.com,GMB
mozartbet.com,GAME
nationalcasino.com,GMB
navy.mil,GOVT
on-instant.com,EXCEPCIÓN (SIN ACCESO POSIBLE)
pacom.mil,GOVT
patria.org.ve,GOVT
pelota-libre.com,CULTR
pelotalibre.me,CULTR
pinkplay.net,A LA VENTA
pirlotv.fr,CULTR
pirlotvhd.online,CULTR
plan0km.org,MISC
plc.org.ni,POLR
quantico.marines.mil,GOVT
rojadirecta2.org,CULTR
rojadirectaliga.me,CULTR
samesexmarriage.ca,LGBT
socom.mil,EXCEPCIÓN (SIN ACCESO POSIBLE)
southcom.mil,EXCEPCIÓN (SIN ACCESO POSIBLE)
stratcom.mil,EXCEPCIÓN (SIN ACCESO POSIBLE)
sumate.org,POLR
tastybingo.com,GMB
teenhealthfx.com,PUBH
ticketgo.com.ar,EXCEPCIÓN (SIN ACCESO POSIBLE)
tickeygo.com.ar,EXCEPCIÓN (SIN ACCESO POSIBLE)
tiofutbol.com,EXCEPCIÓN (SIN ACCESO POSIBLE)
tiplix.com,EXCEPCIÓN (SIN ACCESO POSIBLE)
todopelotastv.com,CERRADO
topdrawers.com,COMM
torrentz.eu,A LA VENTA
tramitaya.com.ar,EXCEPCIÓN (SIN ACCESO POSIBLE)
tutl24.xyz,EXCEPCIÓN (SIN ACCESO POSIBLE)
tutlehd4.com,EXCEPCIÓN (SIN ACCESO POSIBLE)
tutlehd5.com,EXCEPCIÓN (SIN ACCESO POSIBLE)
tv-libre.com,A LA VENTA
tvmagis.pro,VACIO
unibet.com,GMB
usafa.af.mil,EXCEPCIÓN (SIN ACCESO POSIBLE)
uscg.mil,EXCEPCIÓN (SIN ACCESO POSIBLE)
valence.community,VACIO
ver-television.online,CULTR
vercanalesonline.com,CULTR
viviendaenred.net,IGO
webapuestas.com,GMB
westernunion.com,COMM 
whatsap.com,GRP
xroxy.com,COMM
zdsptv.com,CULTR
zonax.club,EXCEPCIÓN (SIN ACCESO POSIBLE)
